,댓글
818,한국 : 독도에 너희 나라 국기 꽂혀있어?  일본 : 아니?  한국 : 그럼 왜 니네 땅이라고해? 일본 : 그렇게 치면 독도에 너희네 국기 꽂혀있어? 
819,"한국에서는 많은 사람들이 독도 (다케시마)에 대해 잘 아는군요.  일본에서는 의무 교육으로 한국과 일본 사이에 독도라는 곳을 둘러싼 영토 문제가 있다는 것만을 배웁니다. (따라서 한국과 일본 사이에 영토 문제가있는 것이나, 독도의 존재를 모르는 사람도 많이 있습니다.)"
820,혼자서는 세상 조용한 민족. 몇명만 모이면 세상 제일 정신 나간 민족
821,우와 일본 잼민이들이다!! 잼민이 군단이여 나와라!!!
822,11:40 카레가 먹고싶어서 화난 모양이군요
823,가본적도 없고.. 지들이 독도 본건 애니뿐인데 우기네
824,"THE MAINICHI SHIMBUN August 14 Wednesday, 2019  ""Yasukuni's bid for emperor to visit 150th anniversary rebuffed""    Yasukuni Shrine, seen by critics as a symbol of Japan's past militarism, last fall sought a visit by then-Emperor Akihiko to mark the 150th anniversary this year of its establishment. but his aides declined."
825,ㅋ 모르면서 자기꺼라고 하네 ㅋㅋㅋㅋㅋ
826,설민석 마동석 김동현 오타니 료헤이 이러케 섭외해서 다시갓으면 좋겟습니다ㅠㅠㅠ 아오 졸라 짜증나네 안경샊이;;;;
827,독도는 한국의 영토라는 것이 진실이고 진실은 어떻게든 이기게 되어 있습니다.
828,다음에 갈때는 동석이형좀 옆에 끼고다니자
829,심각하다.예의없다.욕나올뻔했다밖에 할말이 없음돠
830,독도빵에있는 일장기 뿌셔야하는대……..
831,다짜고짜 화내는 일본인들 인성
832,아니 역사가 인정하는데 왜 억지를 부리는거야? 역사를 반박할수 있으신가?
833,이 유튜브를보니 일본이 망해가는 이유를충분히 몸으로 느껴진다 일본인들은 말속의 영혼이 없는것같은반면 우리 취재진들은   나름남의 나라임에도불구하고 존체성과 말속의의도가분명하며 뭔가 꽉찬 느낌들어'우리가이긴단 믿음이 강하게느껴진다 일본인들 비어있는 우렁같다
834,엿날리면서 떠나면 개꿀잼이겠다
835,독도는 한국땅이라고!!너희들 멋대로 (일본 땅이라고) 우기지 마!
836,13:45  ㅋㅋㅋ 지가 물어봐ㅋㅋ놓고
837,와 진짜 개킹 받네
838,독도는 분쟁지역이 아닙니다. 엄연한 대한민국의 영토입니다.
839,0:24 자신에게 가래를 뱉어달라 호소하는 일본인 ㄷㄷ
840,한국인:독도갈때 너희 여권가지고 가지 일본인:당연하지  한국인:우린 여권 안 가지고 가도돼 일본인:  .............
841,13:53 질문을 해서 답하려니 닥치래ㅋㅋ
842,"이건 한국인뿐만이 아니라,외국나라에서도 보여줘야할 엄청나게 큰 문제네요.계속 일본사람들이 시비를 걸어도,참으시는걸 보니,정말 대단하신것 같아요."
843,아니 일본땅이면 어딨는지 알아야지 ㅋㅋㅋㅋ
844,🇯🇵:야 한국 🇰🇷:왜? 🇯🇵:독도는 우리땅이야 🇰🇷:뭔소리임
845,아 저 일본인들 싸가지가 없네 참나..
846,김구라는 충분히 짜증나지만 흥분하지 않고 천천히 말하는데 일본 싸가지보소
847,그냥 원폭 한번더 가자 제발
848,김구라님 뒤에 강호동님하고 마동석님 가면 어떨까?
849,"독도가 일본땅이라고 하고 어딨는지도 몰라,왜ㅋㅋㅋㅋㅋ그리고 처음보는 사람한테 막 꺼지라 고 함부로 말 하는건 또 뭐야ㅋㅋ일본인들 솔직히 옛날엔 착한사람도 있으니까 일본을 그렇게 나쁘게 생각하지 마라고 친구들한테 말했었는데, 이 영상 보니까 일본이 괜찮다고 생각한 나를 되돌아보니까 그게 맞는거 같기도하고 아닌것 같기도하고,,일본을 어떻게 생각해야하는질 모르겠음. 내 예상으로 따지자면 우리나라에서 일본을 싫어하는 사람들이 훨씬 많을것같음. 지금의 내가 일본을 생각하면 진짜 ""어이없다."",""짜증나네"",""왜 저러는거지..;;""생각 등등 싫어하는?생각들이 더 많음. 그리고 난 예전에 일본 에니메이션 도라에몽이나,포켓몬스터,짱구 등등 일본껀 싫었는데 지금은  일본 에니 좀 괜찮아서 '산리오 폼폼푸린' 덕질 중ㅋ...이제 팔아파서 난 갈께요 빠잉"
850,BTS   국방의무를 독도 수비대로!!!
851,ㅋㅋㅋㅋㅋ 코미디가 따로없네
852,일본인: 우끼 우끼끼끼끼 우끼끼끼 한국인: 뭐라는 거야?
853,"THE MAINICHI SHIMBUN September 2, 2019  ""Ex-actor Park Kyung Sik (Arai Hirofumi) pleads not guilty to sexual assault as trial opens""    Former actor Park Kyung Sik pleaded not guilty to sexually assaulting a masseuse at his home during the first hearing of his trial at the Tokyo District Court on Sep. 2."
854,"<팩트체크1> 1. 1696년 안용복 사건으로 인해 에도막부(당시 일본중앙정부)는 울릉도와 독도는 일본 영토가 아니라고 공식문서로 발표 후, 울릉도에 대해 어업금지령을 내림. 2. 1905년 일본은 무주지라는 이유로 영토편입 선포를 함."
855,오래됬지만 일본이 지땅이라면서 위치를 모르면 왜 지 땅 이라는거일까? 진짜 일본 우기는것은 1등인듯ㅋㅋ 역겹네ㅋㅋ(강치만 불쌍하다 )
856,일본인들 앞에서 몽키몽키 매직 몽키매직 부르면 급발진한다는데 가서 불러주고싶네
857,지내땅 아닌거알면서 독도가어디에있는 지알지도못하면서 초등하교 안나왔나?
858,독도가 한국땅인 이유:  야 너흰 독도 갈때 여권 가지고 가지? 우린 안 가지고가. 수고^^
859,"THE ASAHI SHIMBUN September 15, 2019  ""Princess Kako heads for Europe on first official overseas visit""    Princess Kako left for Austria and Hungary on Sept. 15 for her first official overseas visit."
860,일본:다케시마는 우리꺼야 하지만 어딨는지 몰라  중국:김치는 우리꺼야 하지만 김치냉장고는 없어
861,우리 k잼민이들 모아서 일본가면 이길 것 같은데?
862,여러분 일본이 저희에게 사과를않하는이유가 독일은 당   즉 정치하는 무슨 당이 바뀌어서 정식으로 사과했고 일본은 당이 않바껴서 예전일들을 교육으로 않가르쳤기 때문입니다. 그니까 우리는 역사를 절대 잊으면 안됩니다.
863,이제 일본이 무서워서 못가겠다
864,ㅅレ고Γ티ŀㅂł 왜이리 좋냐 ..클라스가 다르다 볼맛나네
865,독도는 우리따이야 일본이라고 우기지마 이 일본놈들아!!! 독도는 한국땅!!!
866,나 일본여행 갔다가 일본 남자가 나한테 뻐큐하고 갔는데 다시만나서 똑같이 하고 감
867,개 킹받너
868,벌레가 짖을수도있군요..! 대단합니다
869,저는 요즘 코로나때문에 직장도 힘들어졌는데 뱤캬!라!퓰 뱅 알고나서 부업으로 했는데 50만원 2일만에 벌었어요 ㅎ
870,이정도면 개꿀잼 몰카 아니냐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㄱㅋ
871,"아니 대한민국 SDT, SOU, 해양경찰 등등 독도를 지키고 있고 일본인들은 경찰 군인 한명도 없잖아"
872,"저럴때 대처법,  한국인 : 너 여권없이 독도 갈 수 있어? 난 갈수 있어. 니는? 일본인 : ..."
873,그래도 경찰분은 착하셔서 다행이네
874,정말 교육의 중요성과 무서움이 느껴지네요...
875,어느 나라건 극단 주의자들은 답 없음 딱 거기 그만큼 갇혀 있는 것들임.  아무리 시대가 변해간다 해도 역사를 아는 대한민국 국민이라면 시대적 아픔을 알고 있기에 일본을 마냥 호의적으로만 볼 수 없다. 특히 저런 혐한이 일상인 극우세력은 우리를 더욱 분노하게 만든다.  같이 흥분하지 말고 차분하게 더욱더 철두철미하게 역사적 증거를 찾아내어
876,"THE YOMIURI SHIMBUN August 14 Wednesday, 2019  The U.S. government has shown its understanding of Japan's position that the issue of South Korean former requisitioned workers had been ""resolved under 1965 agreement between Japan and South Korea""."
877,독도는 한국거 입니다!!!!!!
878,저기 김구라말고 마동석 갔으면 아무도 시비 못걸었지ㅋㅋ
879,다음에 한 번 더 가자 마동석 설민석 김종국 등 인기 많은 힘쎈 배우 데리고 가자
880,말시켜놓고 닥치라는건 뭐고 또 다시 말시키는건 뭐냐ㅋㅋㅋㄱㅋㅋ
881,벽이랑 대화 하는게 낫겠다ㅋㅋㅋ
882,서경덕 교수님 진짜 너무 든든합니다.. 7:37 눈앞에서 일장기를 찢어버렸어야하는데
883,일본 알지도 모르면서 우기놐ㅋㅋ
884,유명한 분들 군복무를 독도 수비대에서 했으면 좋겠음 진짜 세계적으로 유명한 분들 듣자마자 아 그 한국의 ~~? 라는 말이 나오는 분들이 독도 수비대로 가게 되면 그 분들을 좋아하는 분들의 이목이 집중될거고 그 때 쐐기 박으면 될텐데
885,일본시민들이 독도가 어디인지도 모르면서...상식이라뭐라하니....닥치라니꺼지라니 그런말을 듣고서 화안날 한국인은 없다....
886,이거 어디서 봤는데 ㅋㅋㅋㅋㅋ  한국인:독도가 우리땅이라는 증거와 논리로 주장. 일본인:빼애ㅐ애애ㅐㄲ!!!!다케시마 우리땅이라궈ㅓ엉ㄲ!!ㅋ빼애애애애애ㅐㅇㄱ빼애애ㅐㅇ애ㅐ액!!
887,아니ㅋㅋㅋㅋㅋ 독도 어디있는지 모른다고 할때   갑자기 속에서 화가 치민다...ㅎㄷㄷ..
888,김구라씨는 화나는거 어떻게 참으셨지...대단
889,먹을걸로 장난치는거 아닌데... 못배웠네...
890,화가 나는 일인데 화만낼일은 아니에요 우리가 저기 사는 일본인이면 틀리지 않을수 있어요 하나하나 알아야지 우리기 이길수기 있지 않을까요
891,울릉도 독남족 백길따라200리 외로운 섬하나 우리의 고향
892,아  통역사를좀...   열정적인 통역사를 데려가지... 본방을못봐서그런건지뭔지... 통역좀 그때그때 잘해서 할말다하고 왔어야하는데..
893,몇몇 사람들은 착한데 몇몇 일본인들은 교황이 없네요 고생 많으셨네요ㅠㅠ
894,일본은 친히 예의가 바른 민족이라고 알려졌지만  사실은 서로서로 다른사람들에게 관심이 극도론 없고 옆에 모르는 사람이 사고가 나도  무관심하고 지나가는 민족입니다
895,독도는  일본   영토가   아니라    한국영토  이예요
896,잼민이가 장난감 자기꺼라고 때쓰는거같음ㅋㅋㅋㅋ
897,일본자슥 밀치는데 안밀려ㅋㅋ개욱겨
898,일본이 독도는 한국땅이라는걸 인정 했다잖아요 독도가 어디있는지 모르면서 우겨가네 일본역사 알아보라하는데 한국역사나 공부하든가 일본이 한국한테 뭘했는데
899,"프랑스 친구들한테 독도에대해서 말하면 한국이랑 일본이랑 분쟁중인 섬이라는걸 알고있어요.  그래서 전 그 친구들한테 이렇데 말해요. ""한국인이 그섬에 가려면 여권이필요없지만, 일본인이 그섬에 가려면 여권이 필요해."
900,너네가 그런맘을 가지니    쓰나미가 오고 지진이  끊이질않는거야 난  너네들나라에 재해가  생길때  별로 불쌍하거나  안타깝지않아.
901,젤 걱정 되는 건 저렇게 막무가내로 쫒겨나듯이 나왔는데 저걸 방송하고 있던 일본인들 방송을 보고 더 많은 일본 사람들이 독도가 자기네 땅이라고 믿게 될까봐 걱정이다... 그들의 화면에서 우리가 떠밀리듯이 쫒겨난 것 처럼 보일까봐...
902,난 일본 문화를 좋아하고 많은걸 좋아하는데 이영샹만 보면 그런 마음이 조금씩 사라짐
903,일본은 우리땅이다
904,이렇게 독도가 한국땅인것을 일본에 직접가 뜻을 펼친다는게 너무너무 존경스럽습니다. 여러분들 덕분에 저도 애국심이 다시 생긱는 것 같네요 우리땅 독도를 위해 힘쓰시는 분들 화이팅입니다 !
905,ㅇㅋ 독도 너희땅 일본 우리땅 섬에서 잘 사세요~
906,팩트로 말하면 우리나라는 독도가 우리나라꺼라는 증거가 ㅈㄴ 많은데 일본은 독도가 자기네 꺼라는 증거가 진짜 1도없음
907,"""교육이 중요하다는걸 보여주는 영상"""
908,이번영상에서 보니 김구라의 체격이 큰 게  큰 장점이네요~  진짜 당당해보인다
909,일본엄마들의 삼가고인의 명복을빕니다 스미마셍 Dokdo belongs to korea
910,BTS분들 입대하시는김에 6개월 근무하고 전역시켜주는 조건으로 독도에 자대배치하면 전세계적으로 독도는 한국땅이라는 것을 알릴수 있을거 같음
911,저 마른 일본인 개빡치넼ㅋㅋㅋ
912,"여러분들 재밌는 사실 하나 해드리겠습니다.. 독도를 일본에선 다케시마(竹島)라고 부르잖아요? 근데 이거의 뜻을 풀어보면, 대나무 섬 이라는 뜻인데요. 하지만 실재로 독도에는 대나무가 없습니다..ㅋㅋㅋㅋ"
913,ㅋㅋㅋㅋㅋㅋㅋㅋ 아닠ㅋㅋㅋㅋㅋㅋ 개웃곀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 지네(일본) 땅이라고 우기면서 어디 있는지도 몰랔ㅋㅋㅋㅋㅋㅋㅋㅋ
914,힘 좋은 분들이랑 덩치 좋은 분들이 가셨으면 일본인들 찍소리도 못했다ㅋㅋㅋㅋ
915,독도는 대한민국의 땅이다!
916,김구라도 저걸참는게 대단하다👏👏👏
917,하 일본은 다케시마라고 말만하고 위치도모르고 겁나 어이없어서 헛웃음나옴
918,일본인: 독도 우리꺼야!  한국인: 야 독도갈때 너 여권필요하지? 일본인: 응... 한국인: 난 필요없음 ㅋ
919,3:50 일본 아죠씨 자기가 짱인줄알고  밀치려다가 안밀려서 당황 ㅋㅋ
920,김구라 진짜 의연하게 대처하는 거 보면 괜히 방송 짬밥 있는게 아니다...나라면 욕 했을텐데. 극우 단체들 걍 관종같음... 관심 좀 받으니깐 목소리 더 커지네
921,마트 직원분 착하시네 거부감든다니까 끄덕끄덕하고 마셔..
922,제 생각에는  우리나라 증거만 맞다고 하면 일본인들 한테 그냥  욱이는게 되니까 어떻게 왜곡했는지 한국인 일본일 한테 교육을 하는게 맞다고 생각함니다.
923,어딘지나 알고 뭐라하지…
924,역시 명언! 독도가 일본 땅이면 일본은 한국 땅이고 독도가 한국 땅이면
925,와!!!일본미쳤네
926,??: 독도가 뭐야! 다케시마야! 🇰🇷: 그럼 독도 어디있는지 아세요? ??: 몰라욯헤헤
927,독도쌀 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이번 년도 최고 유머다ㅠㅠㅠㅠㅠㅠ 겁나웃겨
928,방탄소년단이 군입대전에 독도선착장에서 노래 두세곡 부르는 드론영상찍으면 바로 게임끝이다 저는 나름 독도선착장 1번 내려봤음
929,아니 독도가 어디있는지도 모르면서 왜 자기 땅이라고 우기는 거야 조금이라도 가지고싶어서 그러는 건갘ㅋㅋㅋ
930,열도 역시 대단하다...어휴...
931,아우 일본자식들 들키기만해봐 확
932,"독도가 한국땅인증거 1, 울릉도에서 날이밝으면 독도가 보임니다.  2, 예전에 한 일본인이 독도에 나무를베고 물고기를 잡았다가 일본왕이 그사실을알고 그일본인의 목을 쳤습니다."
933,저도 처음엔 짜증났는데 생각해보니까 짜증날필요 없더라구요.. 우리 집에 있는 내방을 옆집 사람이 지꺼라고 우기는거랑 똑같으니까요. 우리 집 사람들 중 아무도 우리집 내방을 우리 집이라고! 소리치지 않아요. 당연한거니까! 그런데 옆집 사람이 고래고래 소리치는거죠
934,당연한건 없어요.. 우리가 관심을 안가지면 언제든지 호시탐탐 기회를 엿보기때문이죠
935,일본인들 아 몰라 우리땅임 뭔진 몰라도 우리땅 맞음
936,구라형이 많이 참았다 새삼 존경하게 되네
937,이런데 이천수 안정환 허재 데려갔어야죠
938,독도는 한국땅이지 일본인은 지들 땅이라고 하면서 어디있는지도 몰름..ㅋㅋㅋ 독도는 한국땅이이ㅣㅣㅣ야ㅑㅑㅑㅑ
939,으아아아... 보다가 개상욕할뻔했네..ㅠㅠ 잘참았다!!
940,단체로 존나 무례하다.. 진짜 예의가 없네 같은 동방예의지국 맞나 ㅋㅋㅋㅋㅋ 아니 니들 생각이 틀린건 둘째치고 왜저렇게 무례하기 짝이없냐
941,여려분들에게 말합니다. 모두 사람들이 거의다 일본은싫어합니다.그럴수도있습니다.일본은 대한민국을 차지할려했단걸 모두가 알고있습니다.하지만 모두가 그런건 아닙니다.이 세상에 착하고 인심좋은 일본인들도 많습니다.그러니 모두들 일본을 미워하시지마시고 착한일본인들을 생각하며 이해하며 노력해봅시다.물론 하기 싫으실수있습니다.그레도 마음을 차분해봅시다.아!참고론 전 토종 한국인입니다!
942,일본 여행 갔을 때 사람들도 다들 친절하고 여행 했던 나라들 중에서도 되게 좋은 기억으로 남아있었는데 이런 거 보니까 좀 무섭다...
943,근데 사실 일본 사람들이 독도를 우리땅으로 생각하는 것 자체가 힘들거임 일본에서 학생때부터 독도는 일본땅으로 교육시키는데 일본 사람들도 불쌍하다ㅉㅉ(인정하는 일본인도 있지만) 독도는 우리나라 땅임
944,"3:30  에서ㅋㅋㅋㅋ 저사람 구라형님말고,우리 (마)동석이형이 있었다면ㅋㅋㅋㅋ 상상만해도 웃기닼ㅋㄱㄲ"
945,근데 독도 가 일본땅이면 호남 부산같은데는? 독도가 일본땅이면 반공구역이 더넓어지잖어
946,아니 일본인들은 독도 갈때 여권 챙기잖아 우리나라 사람이 여권이 필요해?ㅋㅋ ㅈㄴ어이가없네 네네 그렇게 시벌 여권 사진 찍고
947,어차피 가면 싸움붙을게 뻔한데 굳이 갈 이유는 없는데.....
948,일본 정부 에서 처음에 초등 입학할때 보는 시험 이 있는데 그 종이 에 보면 ‘독도(일본에선 다케시마)를 불법 으로 훔친 나라는 어느나라 입니까?’ 라고 나오는데 거기에 대충 문제 를 예시로 하자면 ‘1.한국 2.대만 3.터키 4.미국’(예시) 이런 식 으로 나오는데 한국은 꼭 인던데 일본 은 무조건 없더라구요..
949,일본은 괜찮다 싶을 때 다시 내마음에서 제일 진짜그냥 보기가싫은나라가 된다
950,김구라 저기서 맞다이 뜨면 다 이길듯 ㅋㅋㅋㅋㅋㅋㅋ
951,그런데 일본인이 한국에 더많이 놀러오지않나?일본인  아이돌들을 비판하려하는건 아니지만 한국에 놀러오는 사람들도 있고 일본인아이돌들도 많은데 일본인들은 왜 그렇게말하는거지 독도가 어디있는건지도 모르면서
952,우리나라 사람한테 독도 어딨냐고 물으면 울릉도 동남쪽 뱃길따라 200리 바로 나오는뎈ㅋㅋㅋㅋㅋㅋㅋ
953,인간들끼리의 수백년싸움이로군..
954,"근데, 우리가 일본이 말하는게 엉터리라고 생각하는거랑 일본이 우리나라가 말하는게 엉터리라고 생각하는거랑 다른건 크게 없는건 없어요. 다른건 딱 하나 있죠. 일본은 우기는거고 한국은 자료를 가지고 설득하려는거죠."
955,와 진짜😠 너무한데
956,우리나라에도 조론분들 좀 있었으면 좋겠음
957,독도 위 에는 자랑스러운 태극기가 꽃혀있답니다
958,"한국이 대단한걸 입증해주네. 선진국인 일본, 인구수 1위 중국 두 나라가 앞다투어 한국의 땅, 한국의 문화를 가지고 싶어하니 ㅋ"
959,그러니까 무개념이라는 소리를 들읍니다❤️❤️
960,1:28 이래서 대한민국 학생들이 공부를 더 잘하는 이유
961,"근데 독도를 가지고 이럭게 싸울 판에는 일본,한국 모두의 것으로 바꾸는게 일본에 한국경계도 사라질수도있고 우리는 이렇해 싸울일도 없으니까 계속 독도는 우리땅 이러면서 서로 싸우면 겁나 오래갈것같은데 그냥 모두의 것이라 말하면 더 나을수있겠다(게임 생각)"
962,코로나 끝나면 마동석 데리고 저 전시관 가야되는게 학계의 정설
963,"우리선생님이말했지 일본인에게이렇게말하라고 ""여권없이독도갈수있냐?"""
964,잼민이들 마동석 대리고가자 설민석 대리고 가자 하는거 개웃김
965,일본 ㄹㅇ 어이없음
966,저렇게 세뇌교육을 받은 나라가 멀쩡하겠냐
967,그냥 심익현 형님께서 독도는 한국땅이라고 시원하게 말해주시면 되는데
968,솔직히 일본이 자기들 땅이라 유력하다해도 우리처럼 노래만들고 위치를 아는 곳은 없을듯
969,옛날에 학교에서 일본인 선생님이 개셧는데 독도는 한국땅이에요 일본땅이에요? 라고말했는데(알고말함 ㅋㅋ)대답을 안하시더라 ㅋㅋㅋㅋㅋㅋ
970,13:45 자기가 물어봤으면서 대답하니까 닥치라는게 제일 어이없네 ㅋㅋㅋㅋㅋ
971,핵 한방 더 맞아야 정신차리지 어휴...
972,여러분 저건 진짜 일본이 문제입니다 저분들은 그저 교육청에서 내준 가짜 역사교육책을 보고 배운대로 얘기할 뿐 입니다
973,마스크남 중간에 친구 불러오는거 개웃기네ㅋㅋㅋㅋㅋㅋㅋㅋ펄럭..!
974,모든 일본인이 저런건 아닙니다. 우리나라와 친하게 지내고 싶어하는 일본인들도 많습니다. 다만 문제는 일본은 정치 진영이 몇년째 안 바뀌는걸 보면 저런 사람들이 더 많다는거죠
975,보면 볼수록 빡치네 아...진짜 독도는 한국땅이라고
976,오늘도 알수없는 알고리즘이 날 납치했다
977,독도는 일본땅
978,저기에서 말은 설민석이해야하고 행동은 마동석이해야한다는 댓글 어디갔엌ㅋㅋ
979,마동석이 가면 분노조절잘할듯ㅋㅋㅋㅋ
980,김구라 겁나 짜증난거 다 보임 ㅋㅋ
981,이거 딱 그거네.. 못배운 사람이 믿음을 가지면 진짜 무섭다는 그거
982,난 왜 태정관지령 볼 때마다 멋있게 느껴지냐
983,아니 가래 ㄱ웃기네 ㅋㅋ
984,내가 김구라였으면 ㄹㅇ 싸웠다 김구라 존경스럽다 대인배네
985,논경지 개간이 하기힘든데 빵 쌀 모여.  우리30대는 배우긴했지..술도안만들고 독도 배뜨기도 힘든데ㅋㅋㅋ위치는 모른다는 일본인들 우기기ㅋ 쟤들은 경찰조차도 좀 미개하니깐ㅋ(스브스)당혹사 단골이잖수ㅋ
986,김종민이 이야기한게 생각나게 우리 한국사람들 독도갈때 여권없어도 되지만 일본사람들 여권가지고 출입가능하다고.. 여권필요한 나라가 어떻게 너네 나라 땅이니?
987,Dokdo라고 하면 굉장히 의아하고 화나며 어의없지만 알아듣지 못할 겁니다. 미국을 포함한 많은 나라는 독도를 리앙쿠르 암초 Liancourt Rocks 라고 보통은 적기 때문이죠. 그 영토를 누구의 땅이라고 인정하지 않고 분쟁 지역이라고 해석할때나 하는데 말이죠 과거가 어땠든 현재 한국의 영토인 독도를 한국식 이름이 아닌 다른 이름으로 적는 것은 있을 수 없는 일인데...
988,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ웃음밖에 안나온다 진짴ㅋㅋㅋㅋ
989,독도는 일본이 자기땅이라고 하면서ㅋㅋ 독도가 어디있는지몰라ㅋㅋ  독도는 한국땅이라고! ㅋㅋ
990,진짜 구라형 체구면 돌진하던분 꽂아내릴 수 있을 것 같은데 구라형 잘 참는다
991,일본 사람들아 우기지말라고!!!!!!🤬
992,???: 독도가 어디있는지 아세요?  일본인:모르겠는데 한국인:울릉도 동남쪽 뱃길따라 200리
993,독도는우리땅 노래 진짜 잘만들었다 그노래덕에 대략적인 거리까지 외우고 있으니
994,와 저 사료보여주는 브금과 디태일이 돈나 멋져 소름도듬ㅋㅋㅋㅋㅋ
995,어디있는지도 모르는데 지네꺼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
996,1:1에서는 전투력이 너무 약하네요. 혼자서는  김구라 근처도 못오네요. ㅋㅋㅋㅋ
997,쪽팔리지도않나!??
998,즈그들이 독도를 다케시마 어쩌구 하는데 (다케[타케] = 대나무) + (시마 = 섬) = 대나무섬 독도의 토양 특성상 대나무가 절대 자랄 수 없으며  그러므로 독도엔 대나무가 당연히 존재하지 않습니다
999,나는 일본을 좋아한다고 남들에게 당당하게 말한다 이를 욕하는 이들에게도 당당하게 말한다 내가 좋아하는것은 일본의 문화일뿐 정부가 아니라고 그걸 대표해주는 영상이 이 영상이구뇨
1000,아 미친 존나 사이비 보는 것 같음; 소름끼쳐ㅋㅋㅋ..  13:47 물어봐놓고 조용히하라고 욕 하는건 무슨 심보죠..?
1001,저기에 마동석 있었으면 좋겠다 그럼 한판 않싸워도 우리가 이기는건데
1002,ㅋㅋㅋㅋㅋㅋㅋㅋ 이 프로 재미지네
1003,와 일본 우기는거는 개잘하네 ㅋㅋ 나였으면 한대 때렸다
1004,돋도는 우리땅입니다! 1번째 이유: 돋도는 우리나라 경찰과 군대가 지키고 있습니다. 만약 일본인이 온다면 여권을 가지고 허락을 받고 들어와야 되죠. 2번째:가장 오래된 역사 적 근거로 1145년에 편찬 된 삼국사기에 의하면 512년에 우산국은 신라의 이사부의 군대가 우산국을 정벌하면서 신라에 보속하게 되었습니다. 따라서 독도는 512년부터 우리나라 땅이죠. 일본이 보여준 증거보다 당연히 엄청 오래된 증거죠.
1005,아니 독도를 일본땅이라고 우기는 것도 그렇고 예의도 없고 진짜..심각하다...
1006,한국:ㅎㅎ 일본:내꺼야 한국:이게 뭔지는 아니? 일본:모르는데
1007,13:45에 너희뭐하러 왔냐고 했는데 대답할 기회를 안줌ㅋㅋ 대답을 하라는거야 대답을 하지말라는거야 ㅋㅋ
1008,아니 구라형 앉아있는거만 보니깐 키큰줄 몰랐는데 듬직한게 아주 든든하네 키가 85였나??
1009,독도는 한국땅이다!!!
1010,설민석 + 마동석 + 서장훈 (하승진)  + 강호동 가자
1011,이 제 그만 합시다! 실효지베 하고 있고 일본에가서 이거 우리집  이라 말 할 건 덕지도 없으며 저들에게 이이 만 제공 합니다  꼬우면 한국 오시던가...
1012,어딨는지도 모르면서 자기네 거라하네ㅋㅋㅋㅋ양심무엇? A:그 볼펜 내거야! B:그거 어딨는데? A:몰라?암튼 내거야
1013,저런 프로는 김구라도 김구라지만 저런 프로는 전한길 같은 분들이가서 팩트로 욕해줘야지 ㅋㅋㅋ
1014,13:46님이 물어놓고 닥치랰ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아이랑 예의 밥말아 먹었눜ㅋㅋㅋ
1015,도쿄는 우리나라영토야 60억년전에 붙어있었어!
1016,한명 있을때는 소심히 따라다니다가 친구오면 용감해짐 ㅋㅋ어린이들 ㅋㅋㅋ
1017,독도는 한국땅이다!!!!!!!!! 대한민국 만세!!!!!!!🇰🇷🇰🇷🇰🇷
1018,어디있는지도 모르면서 독도를 지네 땅이라고 제창하는 일본인들 닥ㅊㅣ라 적어도 어딧는지는 알고 지네 땅이라고 우기던가; 니네나 끄정!  그리고 독도는 영원히 한국 영토입니다^!^
1019,우산 든 아저씨 왤케 우리 잼민이들이 몸만 큰거같냐
1020,일본의 개같은 교육이 저사람들을 바보로 만들었다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 지 나라 국민을 바보로 만드는 멋진국가 ㅋㅋㅋㅋ
1021,일본없어지면안돼는점:맛있는게많음
1022,제국주의로 인해 점령했던 땅을 종전 후에 자기들 땅이라고 하는건 전세계 어디에도 없습니다. 독도에 관한 오래된 고서나 이런것들도 중요하지만 지금 일본은 제국주의시기에 자료들로 자기들 땅이라고 주장하기에 애초에 성립이 불가능한 토론이죠
1023,독도가 한국땅인 이유 독도에는 한반도가 있다
1024,나라면은 져기있는음식 다쓸어버리고튀었다
1025,"성당에서 신부님께  들었는데요, 다케시마를 거꾸로 돌리면 마시케다가 되니까 일본놈들이 가지고 싶어한대요."
1026,옛날 김구라였으면 저기서 개쌍욕박으면서 멘탈터뜨리지 ㅋㅋ 참고있는거 안보이나 ㅋㅋㅋ
1027,와 대박이건 킹정이다
1028,마동석 형님이랑 같이 나오면 해결되는건데
1029,이게....맞나......싶을정도네
1030,보디가드로 단소살인마 아자씨를 모셔갔어야했는데... 이걸 확! 단소로 꽉! ㅋㅋㅋㅋㅋㅋㅋㅋ
1031,너무무식하다ㅠ
1032,한국인이랑 키차이가 ㅋㅋㅋㅋ 북한이 외로운섬나라의 난쟁이라고 한말이 팩트네 ㅋㅋ
1033,마동석형님같은 근육빵빵대리고 한번더갔으면 좋겠다 제발
1034,흑표랑비교가안된다 ㅋㅋㅋㅋㅋㅋㅋ
1035,아니싸가지도업고 사람들없을때는말도안하면서 사람많아지니깐  날리 피우네 독도는한국땅
